Atividade;Tags
Take a photo with someone from your workplace.;No Tag
Drink a glass of water.;No Tag
Go to the bathroom.;No Tag
Do 10 squats.;Training
Send a message to a loved one.;No Tag
Check your phone notifications.;No Tag
Look out the window and observe your surroundings.;No Tag
Take 5 deep breaths.;Meditation
Do a quick arm stretch.;Training
Organize your work desk.;No Tag
Clean your glasses or computer screen.;No Tag
Write a sentence describing your day.;No Tag
Note down an idea you had during work.;No Tag
Take a photo of something interesting around you.;No Tag
Do a 2-minute mini meditation.;Meditation
Set an alarm to remind you of an important task.;No Tag
Look at a photo of something or someone you love.;No Tag
Check the weather forecast for the rest of the day.;No Tag
Adjust pillows or your chair to improve posture.;No Tag
Make a quick list of 3 things you’re grateful for today.;No Tag
Listen to a short and invigorating song.;No Tag
Exchange a quick word with a coworker.;No Tag
Walk to the kitchen for a light snack.;No Tag
Do two complete neck rolls to relieve tension.;No Tag
Read an inspirational quote.;No Tag
Send a funny emoji/sticker/meme to a friend.;No Tag
Quickly review your to-do list.;No Tag
Open a window to refresh the air.;No Tag
Clean your coffee or tea mug.;No Tag
Have a coffee or tea.;No Tag
Sit in silence for 1 minute.;No Tag
Check the date and adjust future appointments.;No Tag
Gently massage your temples to relax.;No Tag
Try a 4-7-8 breathing exercise.;No Tag
Change the background music at work.;No Tag
Update your email signature.;No Tag
Send a quick thank-you email to someone.;No Tag
Review the time remaining until the end of the day.;No Tag
Put the trash in the bin.;No Tag
Close your eyes for 30 seconds to rest.;No Tag
Do a quick shoulder rotation.;No Tag
Jump rope for 1 minute.;Training
Briefly organize your digital files.;No Tag
Do a self emotional check-in.;No Tag
Photograph a plant or desk decoration.;No Tag
Create a small to-do list for the next day.;No Tag
Check your bank account or finances.;No Tag
Read a quick meme or joke.;No Tag
Wipe down your workspace.;No Tag
Try a different posture in your chair.;No Tag
Take 5 minutes to reflect on your last task.;No Tag
Do 10 push-ups.;Training
Switch between sitting and standing.;No Tag
Quickly check the day’s news.;No Tag
Send a message to a colleague.;No Tag
Organize your browser tabs.;No Tag
Change your computer’s wallpaper.;No Tag
Rearrange the objects on your desk.;No Tag
Write a goal for the rest of the day.;No Tag
Listen to a short new song.;No Tag
Try a new breathing technique.;No Tag
Do a leg stretch.;No Tag
Send someone a compliment.;No Tag
Do a quick search on a topic of interest.;No Tag
Take a funny photo to send to a friend.;No Tag
Organize documents on your desk.;No Tag
Plan a quick meal for your next break.;No Tag
Disconnect from the internet for 1 minute.;No Tag
Give yourself a quick hand massage.;No Tag
Watch a short tutorial video on YouTube.;No Tag
Quickly clean your keyboard.;No Tag
Create a reminder for a future task.;No Tag
Close your eyes and take deep breaths for 1 minute.;No Tag
Check your voicemail messages.;No Tag
Take a short walk around your environment.;No Tag
Try a back-stretching exercise.;No Tag
Organize the icons on your desktop.;No Tag
Write a short thank-you email.;No Tag
Make a brief list of goals for the next week.;No Tag
Share ideas with a colleague about a project.;No Tag
Organize your browser bookmarks.;No Tag
Try a 1-minute yoga pose.;No Tag
Write a wish list.;No Tag
Turn off the monitor for 1 minute to rest your eyes.;No Tag
Briefly organize your email inbox.;No Tag
Sit in the sun for 1 minute.;No Tag
Check the weather forecast for the weekend.;No Tag
Reply to a personal message.;No Tag
Check your bank balance.;No Tag
Arrange a plant on your desk.;No Tag
Write a motivational sentence for the day.;No Tag
Do 20 jumping jacks.;Training
Organize an office drawer.;No Tag
Experiment with speaking more slowly or quickly.;No Tag
Give a compliment to a coworker.;No Tag
Have a quick snack.;No Tag
Recall a recent happy moment.;No Tag
Quickly check the calendar for future events.;No Tag
Adjust your chair for better ergonomics.;No Tag
Read a short article on a topic of interest.;No Tag
Try a neck stretch.;No Tag
Make a quick shopping list.;No Tag
Apply sunscreen if you’re outside.;No Tag
Experiment with a new mouse position.;No Tag
Organize loose papers on your desk.;No Tag
Write a small motivational note for the next day.;No Tag
Take deep breaths for 1 minute with closed eyes.;Meditation
Share a funny photo or meme with friends.;No Tag
Read a short wellness article.;No Tag
Do 5 vertical jumps.;Training
Set exercise reminders on your phone.;No Tag
Make a list of movies to watch over the weekend.;No Tag
Try a leg flexibility exercise.;No Tag
Experiment with a muscle relaxation technique.;No Tag
Plan a small leisure activity for the end of the day.;No Tag
Quickly review a work document.;No Tag
Check social media updates.;No Tag
Stretch your arms above your head for 1 minute.;No Tag
Turn off your phone notifications for a few minutes.;No Tag
Organize your digital workspace (files, folders, etc.);No Tag
Think of three positive things that happened today.;No Tag
Listen to the surrounding sounds and focus on one for 1 minute.;No Tag
Look at a distant object to relax your eyes.;No Tag
Send a thank-you message to a colleague.;No Tag
Organize your pens and office supplies.;No Tag
Take a photo of an interesting object or book on your desk.;No Tag
Make a list of recent work accomplishments.;No Tag
Note 3 things to improve in your productivity.;No Tag
Take deep breaths while counting to 10.;No Tag
Experiment with a new lighting setup in your space.;No Tag
Watch a quick educational YouTube video.;No Tag
Take a short walk around your space.;No Tag
Quickly review your work notes.;No Tag
Write a sticky note with a priority task for the day.;No Tag
Organize your email inbox.;No Tag
Do an ankle and foot stretch.;No Tag
Take 1 minute to practice mindfulness.;No Tag
Plan what you’ll do in your next break.;No Tag
Clean the chair's armrests.;No Tag
Write down a new project idea.;No Tag
Do a 1-minute plank (physical exercise).;Training
Note an improvement idea for the next project.;No Tag
Update the desktop wallpaper.;No Tag
Sit with bare feet on the floor and relax.;No Tag
Set a reminder for an important task later today.;No Tag
Do a quick mindfulness meditation exercise.;Meditation
Adjust the monitor brightness to avoid eye strain.;No Tag
Send a message thanking someone for something recent.;No Tag
Create a note with ideas for improving your routine.;No Tag
Check the week's schedule.;No Tag
Take 5 deep and focused breaths.;No Tag
Quickly organize the desktop.;No Tag
Check the progress of an important project.;Focus
Do an ankle rotation exercise.;Training
Drink a glass of juice or tea to re-energize.;No Tag
Write a quick gratitude list.;No Tag
Switch your pen for a new or more comfortable one.;No Tag
Send a message of support to a colleague.;No Tag
Take a pause to adjust your posture in the chair.;No Tag
Read a paragraph from an inspiring book.;No Tag
Send a quick note to family.;No Tag
Check local news for 1 minute.;No Tag
Organize your paperclips or small materials.;No Tag
Do a mindfulness exercise observing your breath.;No Tag
Share an interesting article with a colleague.;No Tag
Move a decorative object on your desk.;No Tag
Plan a quick outing or meeting.;No Tag
Send a sincere compliment to a friend or colleague.;No Tag
Take a short break to listen to relaxing music.;No Tag
Write a positive thought about your day.;No Tag
Remember something funny and share it with someone.;No Tag
Review your progress on today's work.;No Tag
Send a thank-you message to someone important.;No Tag
Quickly organize your bookshelf.;No Tag
Take a pause to breathe fresh air (if possible).;No Tag
Plan a leisure activity for the end of the day.;No Tag
Take a short walk around your work environment.;No Tag
Check your weekly goal progress.;No Tag
Write a quick tweet or post reflecting on your day.;No Tag
