Atividade;Tags
Caminhar por 10 minutos.;Treino
Meditar por 10 minutos.;Meditação
Fazer alongamentos de corpo inteiro.;Treino
Fazer uma refeição leve ou lanche saudável.;Sem Tag
Ler algumas páginas de um livro.;Foco
Responder a e-mails pessoais.;Foco
Escrever um breve diário sobre o que você fez até agora no dia.;Meditação
Fazer uma ligação rápida para um amigo ou familiar.;Sem Tag
Reorganizar a área de trabalho (digital e física).;Sem Tag
Limpar o espaço do seu celular/computador.;Sem Tag
Limpar e organizar um espaço da casa ou escritório.;Sem Tag
Ouvir um podcast curto ou parte de um episódio.;Sem Tag
Assistir a um vídeo motivacional ou inspirador.;Sem Tag
Verificar e atualizar seu planejamento semanal.;Sem Tag
Tirar uma foto de algo interessante e publicá-la nas redes sociais.;Sem Tag
Escrever 5 coisas pelas quais você é grato.;Sem Tag
Fazer um pequeno treino físico;Treino
Pintar ou desenhar algo rápido.;Sem Tag
Fazer uma meditação guiada de gratidão.;Meditação
Jogar um jogo de palavras ou quebra-cabeça.;Sem Tag
Revisar e otimizar sua agenda do dia.;Sem Tag
Organizar seus arquivos digitais.;Sem Tag
Responder a mensagens atrasadas.;Sem Tag
Ler um artigo interessante.;Sem Tag
Pesquisar sobre um assunto novo.;Sem Tag
Reorganizar suas pastas de trabalho.;Sem Tag
Plantar algo no jardim ou em um vaso.;Sem Tag
Realizar um exercício de yoga.;Meditação
Rever metas pessoais e profissionais.;Sem Tag
Anotar ideias para novos projetos.;Sem Tag
Criar um mural de inspirações digitais.;Sem Tag
Verificar e ajustar suas finanças pessoais.;Sem Tag
Ler um capítulo de um livro.;Sem Tag
Realizar uma chamada de vídeo com alguém.;Sem Tag
Escrever uma carta ou e-mail para alguém especial.;Sem Tag
Participar de um jogo online rápido.;Sem Tag
Pesquisar destinos para uma futura viagem.;Sem Tag
Assistir a um TED Talk ou vídeo educativo curto.;Sem Tag
Praticar um exercício de relaxamento progressivo.;Treino
Ler uma matéria sobre ciência ou tecnologia.;Sem Tag
Atualizar seu currículo ou perfil profissional online.;Sem Tag
Fazer um planejamento para a semana.;Sem Tag
Realizar uma pequena pesquisa sobre produtividade.;Sem Tag
Escrever um post motivacional para redes sociais.;Sem Tag
Tirar fotos para atualizar suas redes sociais ou blog.;Sem Tag
Atualizar uma lista de leitura.;Sem Tag
Fazer um pequeno exercício de flexibilidade.;Treino
Criar uma playlist para seu próximo treino ou corrida.;Sem Tag
Assistir a uma palestra ou workshop online curto.;Sem Tag
Organizar suas senhas em um gerenciador seguro.;Sem Tag
Revisar e otimizar sua dieta alimentar.;Sem Tag
Fazer uma sessão rápida de alongamento com foco na postura.;Treino
Atualizar suas metas mensais ou semanais.;Sem Tag
Reorganizar os documentos do computador.;Sem Tag
Responder mensagens importantes pendentes.;Sem Tag
Organizar suas roupas de treino.;Sem Tag
Verificar ofertas ou descontos em sites de compras.;Sem Tag
Planejar uma atividade ao ar livre para o final de semana.;Sem Tag
Fazer uma rápida sessão de brainstorming para um projeto.;Sem Tag
Organizar arquivos e documentos importantes em nuvem.;Sem Tag
Atualizar as configurações de privacidade das suas redes sociais.;Sem Tag
Fazer uma pequena sessão de exercícios funcionais.;Sem Tag
Estudar um tema novo relacionado ao trabalho.;Estudo
Fazer uma pequena lista de compras para a casa.;Sem Tag
Programar uma ligação com amigos ou familiares para o final de semana.;Sem Tag
Ler um artigo sobre autodesenvolvimento ou bem-estar.;Sem Tag
Explorar ferramentas de produtividade online.;Sem Tag
Pesquisar atividades de lazer em sua cidade.;Sem Tag
Planejar uma nova rotina matinal.;Sem Tag
Fazer uma chamada rápida para um familiar distante.;Sem Tag
Escrever um texto curto sobre como você se sente no momento.;Sem Tag
Organizar fotos digitais no computador ou celular.;Sem Tag
Ouvir um audiolivro ou parte de um livro novo.;Sem Tag
Desenhar ou rabiscar em um caderno.;Sem Tag
Planejar uma pequena reforma ou melhoria no ambiente de trabalho.;Sem Tag
Fazer uma pesquisa sobre novos hobbies ou atividades de lazer.;Sem Tag
Assistir a um tutorial rápido sobre algo que você quer aprender.;Sem Tag
Organizar as anotações do último projeto que você trabalhou.;Sem Tag
Ler artigos de revistas ou blogs especializados.;Sem Tag
Fazer um esboço de um projeto pessoal.;Sem Tag
Limpar e reorganizar o espaço de trabalho.;Sem Tag
Assistir a uma transmissão curta ao vivo de um evento ou apresentação.;Sem Tag
Organizar suas listas de músicas ou favoritos no celular.;Sem Tag
Escrever uma resenha rápida de um livro ou filme que você assistiu.;Sem Tag
Revisar planos de férias ou futuras viagens.;Sem Tag
Revisar o orçamento mensal e ajustar planos financeiros.;Sem Tag
Fazer uma pequena pausa para relaxar com uma xícara de chá.;Sem Tag
Praticar técnicas de mindfulness ou respiração profunda.;Meditação
Escrever uma reflexão sobre o que aprendeu recentemente.;Sem Tag
Assistir a uma animação curta ou inspiradora.;Sem Tag
Pesquisar cursos rápidos para se inscrever online.;Sem Tag
Fazer uma revisão rápida de seu dia ou semana.;Sem Tag
Jogar um quebra-cabeça ou jogo mental online.;Sem Tag
Reorganizar a prateleira ou área de leitura de livros.;Sem Tag
Planejar um pequeno evento social com amigos ou colegas de trabalho.;Sem Tag
Desenhar um plano visual para um projeto criativo.;Sem Tag
Tirar um tempo para planejar a decoração de um espaço da casa.;Sem Tag
Pesquisar podcasts ou audiolivros novos para ouvir.;Sem Tag
Escrever uma lista de livros ou filmes que deseja explorar.;Sem Tag
Verificar as últimas notícias sobre um tema que você gosta.;Sem Tag
